
    wmo_id           termin   track_type   prof_type    type         level               4919          4906          4907          3147          4908          4909          4910          4911          4912          4913          4914          4915

      7755 | 20240709020000 |   10000000 |       1104 |          0 |     551.00 | 10000000.00 | 10000000.00 | 10000000.00 |      290.00 |        0.80 | 10000000.00 | 10000000.00 | 10000000.00 | 10000000.00 |        1.06 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |     581.00 |       11.48 |        0.30 |       40.00 |      290.20 |        0.90 | 10000000.00 | 10000000.00 | 10000000.00 | 10000000.00 |        1.09 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |     611.00 |       11.65 |        0.40 |       40.00 |      290.50 |        1.00 | 10000000.00 | 10000000.00 | 10000000.00 | 10000000.00 |        1.10 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |     641.00 |       11.60 |        0.40 |       40.00 |      291.00 |        1.10 | 10000000.00 | 10000000.00 | 10000000.00 | 10000000.00 |        1.10 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |     671.00 |       11.32 |        0.40 |       40.00 |      291.70 |        1.20 | 10000000.00 |       29.13 | 10000000.00 | 10000000.00 |        1.10 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |     701.00 |       10.88 |        0.40 |       40.00 |      292.50 |        1.20 | 10000000.00 |       34.07 | 10000000.00 | 10000000.00 |        1.10 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |     731.00 |       10.37 |        0.40 |       40.00 |      293.10 |        1.10 | 10000000.00 |       38.32 | 10000000.00 | 10000000.00 |        1.08 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |     761.00 |        9.92 |        0.40 |       40.00 |      293.50 |        0.90 | 10000000.00 |       42.16 | 10000000.00 | 10000000.00 |        1.07 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |     791.00 |        9.61 |        0.40 |       40.00 |      293.50 |        0.80 | 10000000.00 |       45.59 | 10000000.00 | 10000000.00 |        1.06 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |     821.00 |        9.46 |        0.40 |       40.00 |      293.20 |        0.70 | 10000000.00 |       49.16 | 10000000.00 | 10000000.00 |        1.06 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |     851.00 |        9.42 |        0.40 |       40.00 |      292.70 |        0.70 | 10000000.00 |       52.97 | 10000000.00 | 10000000.00 |        1.06 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |     881.00 |        9.40 |        0.40 |       40.00 |      292.30 |        0.70 | 10000000.00 |       56.69 | 10000000.00 | 10000000.00 |        1.06 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |     911.00 |        9.34 |        0.40 |       40.00 |      292.20 |        0.80 | 10000000.00 |       60.35 | 10000000.00 | 10000000.00 |        1.05 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |     941.00 |        9.25 |        0.40 |       40.00 |      292.30 |        0.80 | 10000000.00 |       63.80 | 10000000.00 | 10000000.00 |        1.04 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |     971.00 |        9.17 |        0.40 |       40.00 |      292.30 |        0.80 | 10000000.00 |       67.66 | 10000000.00 | 10000000.00 |        1.03 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |    1001.00 |        9.10 |        0.40 |       40.00 |      292.30 |        0.70 | 10000000.00 |       71.94 | 10000000.00 | 10000000.00 |        1.03 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |    1031.00 |        9.09 |        0.40 |       40.00 |      292.20 |        0.70 | 10000000.00 |       77.17 | 10000000.00 | 10000000.00 |        1.02 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |    1061.00 |        9.12 |        0.40 |       40.00 |      291.90 |        0.70 | 10000000.00 |       82.72 | 10000000.00 | 10000000.00 |        1.02 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |    1091.00 |        9.18 |        0.30 |       40.00 |      291.60 |        0.70 | 10000000.00 |       88.80 | 10000000.00 | 10000000.00 |        1.02 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |    1121.00 |        9.25 |        0.40 |       40.00 |      291.40 |        0.70 | 10000000.00 |       95.38 | 10000000.00 | 10000000.00 |        1.03 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |    1151.00 |        9.26 |        0.40 |       40.00 |      291.10 |        0.70 | 10000000.00 |      102.25 | 10000000.00 | 10000000.00 |        1.03 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |    1181.00 |        9.16 |        0.40 |       40.00 |      290.90 |        0.70 | 10000000.00 |      109.02 | 10000000.00 | 10000000.00 |        1.02 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |    1211.00 |        8.95 |        0.40 |       40.00 |      290.60 |        0.70 | 10000000.00 |      115.81 | 10000000.00 | 10000000.00 |        1.01 |        0.00 | 10000000.00
      7755 | 20240709020000 |   10000000 |       1104 |          0 |    1241.00 |        8.62 |        0.30 |       40.00 |      290.60 |        0.80 | 10000000.00 |      122.65 | 10000000.00 | 10000000.00 |        1.00 |        0.00 | 10000000.00
